,match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth
0,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,0,1,1,1,0,0,0,0,0,15,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,103,,,-1
1,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,0.683333333,1,1,2,0,0,0,0,0,30,1,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,113,,,-1
2,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,1.25,1,1,3,0,0,0,0,15,30,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,118,,,-1
3,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,1.65,1,1,4,0,0,0,0,30,30,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,113,,,-1
4,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,2.116666667,1,1,5,0,0,0,0,30,40,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,112,,,-1
5,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,2.633333333,1,1,6,0,0,0,1,0,0,1,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2,90,,,-1
6,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,3.766666667,1,2,7,0,0,0,1,15,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,105,,,-1
7,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,4.333333333,1,2,8,0,0,0,1,30,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,125,,,-1
8,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,4.933333333,1,2,9,0,0,0,1,30,15,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,106,,,-1
9,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,5.483333333,1,2,10,0,0,0,1,30,30,2,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,125,,,-1
10,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,5.866666667,1,2,11,0,0,0,1,30,40,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,109,,,-1
11,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,6.266666667,1,2,12,0,0,0,2,0,0,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,94,,,-1
